gene_name,Q4minusQ1,Q3minusOther,InputMinusAvg
Sirt6,0.72568689,-1.154793107,-0.7818987
Sirt7,0.871433023,1.696192967,-0.646188146
Smarca1,1.487828104,1.852493145,1.247823715
Smarca2,0.733993653,-0.479000919,-0.321014812
Smarca4,1.426185877,3.768391545,0.322552648
Smarca5,0.903761382,-0.860472805,2.280750709
Smarcc1,1.959654113,2.295423774,1.484927589
Smarcc2,-1.437063408,-1.051558501,1.376824837
Smarcd1,-1.765143238,1.917870082,0.389511517
Smarcd2,2.917174642,3.838859528,2.061388112
Smarcd3,-1.622410978,0.774017552,-0.630400858
Smarce1,1.657578474,4.951454576,0.622003887
Smyd1,0.190759912,0.89617976,-0.966277836
Smyd2,-0.392394455,1.233727969,1.203156343
Smyd3,-1.75093476,0.528787371,1.358870169
Smyd4,1.92251419,-0.2515687,-1.658775118
Smyd5,1.05528534,3.333175995,1.152377504
Sp100,-0.310280525,0.440994347,0.548587719
Sp110,-0.791986861,-0.288879261,0.762257521
Sp140,1.143723305,0.946695579,-0.635834411
Ssrp1,-1.40475543,1.324696614,0.456778978
Supt16h,1.219134415,-0.92303224,3.150296771
Suv39h1,-1.220663956,-1.709751367,-0.49362284
Suv39h2,0.445188565,0.784680753,-0.666687404
Suv420h1,0.253448494,-1.668538705,1.058106613
Suv420h2,0.228364582,1.358127037,2.35531859
Suz12,0.519895219,0.952703823,0.933472928
Taf1,0.884964499,2.542689695,0.723883725
Taf3,-1.596987264,0.705379552,0.678383457
Tbx21,3.333691485,1.833659532,-0.208051363
Tcea1,0.954717892,0.324890099,0.857842775
Tdg,-0.942567724,-0.841579583,0.537452123
Tet1,-1.542735221,-1.343998405,1.325565437
Tet2,1.513922331,0.747312915,-0.248046098
Tet3,-1.057286339,-0.504351664,1.742110438
Trim24,-0.777566878,-2.298760753,-1.912561043
Trim28,1.231369377,0.797756528,-1.183543962
Trim33,0.285837317,-1.688378362,-3.269725425
Trim66,-0.921009384,-0.441355817,0.165185049
Ube2b,-1.482206376,-0.429548503,-2.052249632
Ube2e1,-2.42987691,-1.521402318,1.062033702
Ube2i,-1.092337485,1.437146547,0.590465647
Uhrf1,-2.054587896,0.109624203,-0.32436444
Usp22,0.397083339,0.59320871,0.330620971
Usp27x,-1.233824911,-0.690396547,-1.386465764
Usp51,-0.618790653,-1.40812903,-2.441781795
Wbp7,-0.678504333,-2.387134329,0.910974914
Wdr5,-1.011046106,-0.620218382,3.334569727
Wdr82,-0.49294007,0.918928844,-0.777602761
Whsc1,0.133866384,1.318593936,1.186347773
Whsc1l1,0.502046063,1.628681108,-2.782211958
Zmynd11,-1.006060409,-0.993974157,-1.788864202
Zmynd8,1.907639775,1.879815507,2.025824632
