,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Taf6,0.102259651,0.06573423,0.187220231,0.213339716,0.208066136,0.193058908,0.157978117,0.141648248,0.131327018,0.062218927,0.073808752
Ruvbl2,0.117770359,0.109903425,0.39311111,0.245673567,0.298777997,0.211318657,0.233359933,0.17474474,0.110648312,0.106110983,0.060882922
Stat4,0.4877069,0.555275083,0.462318033,0.659219682,0.625971138,0.59349823,0.650966823,0.807031274,0.684552431,0.87723583,0.838327587
Mybl2,0.006991106,0.010399803,0.3517932,0.215074882,0.286929429,0.371796727,0.15943034,0.062512822,0.062606134,0.018957229,0.008476132
Tet3,0.317830861,0.26248318,0.130817652,0.163066447,0.150583595,0.135610789,0.146333903,0.223987594,0.200304851,0.262794107,0.182309747
Stat1,1.326508641,1.37561214,0.628898025,0.862888217,0.757897019,0.679730356,0.738720179,1.006929636,1.122604847,0.948106706,0.663595438
Dpp4,0.393169463,0.449056566,0.265467435,0.253168374,0.296872526,0.250782162,0.263049901,0.498532176,0.237507403,0.405976176,0.309507102
Smarcb1,0.202812791,0.183532,0.475765914,0.417678773,0.460283577,0.419305533,0.41416806,0.409124613,0.355580151,0.202862844,0.104478039
Suv39h1,0.064045884,0.069334865,0.241684839,0.266545713,0.244531244,0.212791309,0.135030478,0.081128895,0.069854602,0.039822977,0.037322037
Klrd1,1.149547577,1.226544976,0.394358009,0.989519715,0.816258311,0.785585582,0.997230411,0.851696908,1.45203495,1.756695151,2.084779263
Izumo1r,0.027479066,0.158262685,0.014266616,0.012740389,0.00371363,0.006850882,0.00638352,0.081308752,0.015977213,0.003099131,0.001470996
Aurkb,0.017188564,0.031956289,0.363188028,1.003951192,0.694298625,0.448649943,0.112573534,0.098646715,0.083771437,0.036065113,0.016067673
Mta2,0.263965249,0.328237772,0.613809764,0.606751323,0.660323918,0.621658206,0.583799005,0.470476925,0.461537063,0.415204406,0.384854525
Coil,0.061854463,0.062001165,0.112983264,0.079156786,0.104344986,0.070760489,0.090185694,0.076448791,0.051893506,0.039606459,0.031577095
Taf11,0.2120049,0.186945081,0.449659914,0.377130836,0.430388212,0.33593747,0.344931036,0.311158121,0.263170809,0.237781122,0.253439575
Ankrd49,0.139637783,0.150587067,0.214745849,0.144227058,0.20052658,0.184437826,0.178150818,0.135926276,0.122399829,0.129472852,0.087900244
Pias4,0.1282942,0.085309945,0.14437896,0.209786221,0.161709204,0.150585905,0.128106475,0.124399975,0.15605168,0.13105081,0.135913938
Pwp1,0.123970732,0.103900068,0.244791538,0.145786867,0.177345634,0.177050009,0.175647825,0.162104025,0.127628282,0.095012255,0.085735582
Maz,0.276082426,0.265486449,0.671883762,0.685409606,0.58592999,0.649656773,0.500145972,0.440049648,0.425006717,0.30982095,0.283516139
Foxk2,0.051525366,0.066264115,0.170073569,0.126086786,0.141106367,0.160636067,0.112177223,0.093773611,0.098471731,0.073749028,0.059828963
Igf1r,0.100554496,0.060379475,0.003723566,0.000832237,0.001395784,0.000949359,0,0.007261829,0,0.000763533,0.001305956
Ifitm1,0.003168278,0.005380699,0.03720637,0.090248063,0.107933044,0.077028356,0.104132779,0.023511253,0.059383217,0.039940897,0.01745525
Epcam,0.00711818,0.013432554,0.048389088,0.025714381,0.046707481,0.047605593,0.026615519,0.062939629,0.014430018,0.01153454,0
Hells,0.057246305,0.096041448,1.045583606,0.426204503,0.682295859,0.90215981,0.641885698,0.293347031,0.380535811,0.117571644,0.085128665
Cbx7,0.218325019,0.183997482,0.071212471,0.100633554,0.081588201,0.055782851,0.060181368,0.15641433,0.106037766,0.127098829,0.128963679
Rbl2,0.189929649,0.169342503,0.164465383,0.283526748,0.225008741,0.198861748,0.232874572,0.273653507,0.355657429,0.429050088,0.357779711
Tcf3,0.234254628,0.198360309,0.467285901,0.417392164,0.516020477,0.440713048,0.401330829,0.261033952,0.299667388,0.354407698,0.360339195
Il17ra,0.380158961,0.398150593,0.279005766,0.341382444,0.33902207,0.261101723,0.297105432,0.247334003,0.232512102,0.36486885,0.500701129
Edf1,0.914444923,0.940469861,1.515049696,1.519411922,1.596277595,1.547663569,1.617241979,1.426864386,1.300484538,1.264904857,1.164013267
Zfp36l2,1.24115324,1.260805607,0.951470733,1.379979491,1.196974874,1.107021689,1.242216349,1.312660933,1.642939687,1.872985125,1.988951087
Hdac7,0.582031906,0.447830737,0.327182293,0.464613497,0.413524896,0.412499607,0.355658174,0.484609485,0.565333784,0.466941446,0.331784248
Zfp143,0.085060969,0.04898515,0.106603928,0.138147444,0.115077391,0.090237096,0.072144732,0.080130212,0.054082651,0.070951156,0.065807477
Smyd2,0.035064351,0.022415703,0.163486362,0.054526128,0.082943089,0.091431357,0.034378387,0.067310587,0.057726547,0.017911799,0.008937864
Cd226,0.571451664,0.483687997,0.259019196,0.598298848,0.392804056,0.378316879,0.46360752,0.675678134,0.632206976,0.838495493,0.712869048
Bcl11b,1.453270316,0.939238608,0.63063246,0.868117392,0.791270554,0.722937226,0.737490058,0.837081611,0.839978933,1.158773899,1.312269449
Zbtb32,0.025111524,0.019230723,0.679310262,0.584854543,0.666920066,0.552064836,0.660663009,0.64793849,0.641102552,0.184324056,0.151745096
Alcam,0.010011408,0.014363894,0.204253435,0.24117215,0.205276638,0.188617811,0.194814399,0.228322729,0.3382698,0.160700113,0.109339878
Jarid2,0.30148086,0.282233328,0.176849812,0.310505092,0.27125895,0.17272757,0.200194865,0.385393262,0.414960176,0.371652931,0.351480007
Mcm7,0.176230311,0.165251195,1.04857409,0.842196226,0.987213731,1.195858717,0.736606658,0.363976985,0.428110629,0.168370843,0.123536736
L3mbtl2,0.084265448,0.074220717,0.184470534,0.17019698,0.176199511,0.150590003,0.131334201,0.125409365,0.092975281,0.082328007,0.10202767
Prmt6,0.059689548,0.038415432,0.105286695,0.050415732,0.065775856,0.077413186,0.078178339,0.092438489,0.07009615,0.06492611,0.052956719
Phf1,0.192902118,0.165764436,0.062429972,0.064116418,0.062092412,0.040431608,0.047194645,0.062164888,0.093885049,0.165019512,0.212163314
Ttf2,0.043867119,0.058406211,0.177828565,0.26764366,0.176685974,0.164178684,0.091714129,0.085625991,0.104324065,0.071338654,0.061195631
Cd79b,0.110921219,0.094647221,0.103773162,0.123076931,0.156070933,0.129406035,0.149499908,0.089157343,0.064839229,0.095645964,0.023117306
Eomes,0.093583889,0.279804051,0.222979993,0.160949364,0.214277282,0.17433095,0.177761808,0.168497503,0.138249859,0.172286108,0.103041664
Polr2k,0.393025815,0.448586464,0.836970747,0.807865143,0.873194933,0.854626834,0.870373011,0.595702529,0.532386959,0.52183646,0.5012514
Slc3a2,0.499022424,0.859821081,0.680120051,0.820434988,0.791990459,0.782399416,0.741922081,0.771003962,0.772762418,1.023434043,0.821308553
Elp3,0.103614353,0.100654051,0.128269002,0.09117236,0.100397602,0.094308935,0.10568171,0.097148985,0.072633266,0.062618122,0.08297316
Fosb,0.360335797,1.024944067,0.6137622,0.687485695,0.685122311,0.753998876,0.494623333,0.784890831,0.19986777,0.715534747,0.618414581
Cebpb,0.280727237,0.460423917,0.38019678,0.164571315,0.308001816,0.301181167,0.237287074,0.177087769,0.290102839,0.23881869,0.167052135
Sirt2,0.181967646,0.207270771,0.345169812,0.453858465,0.424803913,0.387667775,0.445627213,0.430584997,0.672145426,0.432786107,0.438618928
Chd6,0.357413262,0.302799314,0.095472679,0.135620385,0.127116472,0.107392833,0.079758838,0.230333045,0.197551817,0.198939905,0.199482739
Foxp4,0.07917235,0.079596065,0.092451163,0.134766445,0.098087706,0.087780565,0.097770669,0.177562699,0.170719981,0.132371798,0.102227256
Kmt5a,0.21893926,0.221050769,0.788417161,0.814941943,0.781741738,0.678748012,0.563465655,0.385086089,0.381438732,0.302143127,0.360313445
Nr2c2,0.345086753,0.254696965,0.197754323,0.246030673,0.225907609,0.195604771,0.186129555,0.228593916,0.353827,0.292035788,0.333972842
Sap30,0.037416615,0.06403435,0.324547559,0.357904375,0.314818859,0.261978239,0.195635512,0.140772045,0.152864784,0.096114777,0.091380037
Phc1,0.044571463,0.041371088,0.049322259,0.065633155,0.052459728,0.043364275,0.053201746,0.04109345,0.040321786,0.038585275,0.046055432
Ascc2,0.075911343,0.064332314,0.133913413,0.100138225,0.12751925,0.100678593,0.106198274,0.115779273,0.075889483,0.07664144,0.057942398
Ighm,1.318687558,0.887301683,0.508795857,0.612570465,0.535685301,0.508116603,0.57508558,1.265512228,0.867822528,0.559556305,0.259653389
Kdm7a,0.41110757,0.47593224,0.145482138,0.172957852,0.172010437,0.098674618,0.181099474,0.300989658,0.238429412,0.471182644,0.526076138
Kmt5c,0.053116962,0.054479677,0.0620308,0.080026783,0.079690255,0.062830143,0.05286365,0.073063456,0.04423473,0.041921984,0.046728112
Espl1,0.001469324,0.00760207,0.130794823,0.293324292,0.214271173,0.103034213,0.057817768,0.024289809,0.019010019,0.006862464,0.005594585
Vax2,0.001169616,0,0.021755181,0.056711532,0.023269108,0.037017208,0.018670641,0.042045351,0.132693097,0.017712945,0.013115108
Cd80,0.001226764,0,0.019768119,0.049071588,0.01915073,0.018512625,0.050624721,0.029591162,0.153975293,0.050346617,0.047617007
Irf7,0.279458165,0.613613904,0.166002691,0.343792468,0.254383117,0.179267123,0.272186399,0.592585504,0.573029041,0.522001922,0.409512758
Atf6,0.03710068,0.025563525,0.202352434,0.239628449,0.23607561,0.243979856,0.184389815,0.198407114,0.307708204,0.258087486,0.224014342
Aip,0.349359214,0.289181918,0.428940058,0.651058078,0.539803088,0.480835497,0.552636445,0.470985025,0.470434457,0.39731431,0.418758214
Thrap3,0.790944576,0.837222457,1.143904805,1.098324299,1.151226401,1.046311855,0.941866994,0.984894037,0.788674355,0.816031158,0.753873289
Bcl6,0.037236229,0.028005535,0.009461596,0.012185538,0.007080701,0.002638499,0.007544877,0.053574007,0.01081747,0.011717252,0.012634902
Cd52,3.279605389,2.892200708,2.631041288,3.445159912,3.076188564,3.22988224,3.376557112,3.537808895,3.874506235,3.801179171,3.731037378
Arid3a,0.017718015,0.028360805,0.092135809,0.056063272,0.088438526,0.09309563,0.094775163,0.065737091,0.072143078,0.045990001,0.066627204
Tnfsf9,0,0,0.116185434,0.078339204,0.113319471,0.091964275,0.110323139,0.06669686,0.09095376,0.048319589,0.039230675
Tnfsf14,0.010158608,0.020682234,0.034801338,0.058938645,0.04432955,0.033064637,0.044857509,0.096395992,0.114530891,0.075014025,0.059812635
Gtf2a1,0.162791923,0.106624991,0.213032559,0.270287842,0.223672733,0.190813377,0.186544001,0.185824677,0.165773764,0.139467284,0.144245386
Sp4,0.229243249,0.163637623,0.159060851,0.316350877,0.240793332,0.181505159,0.185880795,0.145573407,0.252522707,0.261223555,0.192634672
Baz1b,0.434515536,0.393499732,0.970849335,0.877764285,0.982499242,1.026964188,0.722383618,0.566525877,0.602031469,0.442878395,0.416146308
Zdhhc16,0.061733942,0.031346619,0.183219925,0.138884574,0.156720519,0.15678224,0.11777243,0.106781304,0.135729879,0.075726002,0.084419101
Rae1,0.332655817,0.280156374,0.589886189,0.471884787,0.581256032,0.456620544,0.526589513,0.444686264,0.431604326,0.305035591,0.234033689
Kmt2a,0.957131624,0.788383424,0.496489465,0.56405735,0.509440899,0.446296245,0.475704759,0.685240984,0.778205812,0.774956703,0.76116997
Bin1,0.374205381,0.32400912,0.503710866,0.662863612,0.625442386,0.539179444,0.705057979,0.514461935,0.579749584,0.533373773,0.57773751
Nrip1,0.520376265,0.248810545,0.329708666,0.322996974,0.352757573,0.349528283,0.320808381,0.453333378,0.435930073,0.329281598,0.270503849
Cebpz,0.436739028,0.504161716,0.589761376,0.35404259,0.506178558,0.445537597,0.453674167,0.463138461,0.344697654,0.351659089,0.335255593
Fcgr2b,0.001810932,0.007800187,0.00787703,0.027316121,0.024910124,0.011813275,0.021032227,0.013953554,0.032364078,0.105711713,0.232598856
Paxip1,0.103639334,0.079374455,0.300006986,0.249605939,0.309176505,0.344427437,0.204207972,0.139465123,0.163934425,0.094008572,0.096567892
Fkbp5,0.149901196,0.093997084,0.679784894,0.492332608,0.661987603,0.648917794,0.513109326,0.38417533,0.642299652,0.233593613,0.198239431
Vsir,0.536228418,0.472888142,0.250452667,0.442185938,0.443406373,0.341604799,0.470064074,0.558159113,0.491768479,0.75593704,0.720304847
Il6ra,0.507781386,0.414160639,0.022369955,0.008520924,0.011241417,0.011201102,0.008399278,0.031936344,0.005327908,0.008337581,0.005693469
Hif1a,0.31683594,0.372989982,1.073930621,1.079819441,1.081850529,0.975180447,0.998781085,1.400092959,1.06849134,0.859007061,0.626083016
Art4,0.052562099,0.013455859,0,0.000637086,0.000763814,0,0,0,0,0,0.001011697
Rbm15,0.128160998,0.143988952,0.281320781,0.373470843,0.315144241,0.309833199,0.207839012,0.229927182,0.168394968,0.173123688,0.146223947
Suv39h2,0.007009385,0.015988147,0.139322937,0.13124989,0.122513175,0.137159169,0.082811654,0.055071544,0.020395456,0.020084562,0.010059763
Cd5,0.62235105,0.696311653,0.59176892,0.876184106,0.737419665,0.680944085,0.731514215,0.946246207,0.717881918,0.912240982,0.713175952
Men1,0.102673054,0.076367401,0.153684124,0.110432006,0.141366526,0.108637236,0.099227846,0.074429639,0.088078313,0.066879027,0.072599575
Prdm4,0.048411317,0.039099257,0.086637847,0.062558256,0.078625485,0.076457098,0.0908776,0.06594006,0.067335397,0.048936427,0.052583981
Ascc1,0.175740004,0.181964114,0.154286712,0.178830236,0.167452887,0.138674662,0.149241239,0.24648872,0.169907585,0.144352555,0.111042589
Ehmt2,0.120615683,0.137630582,0.302116156,0.432243019,0.381485581,0.280677557,0.355130017,0.256343484,0.290576637,0.247610927,0.256124109
Polr2d,0.132681221,0.141501024,0.424377859,0.316349387,0.401739269,0.350123733,0.367154866,0.258812279,0.20733431,0.181533977,0.177531898
Itgb2,0.492763877,0.503190458,0.823325217,1.139588475,1.069556594,0.998919904,1.064335823,0.836309731,1.06714201,1.113598704,1.521226406
Tnfrsf18,0.300280631,0.290067285,0.239611939,0.350539327,0.292248577,0.289639503,0.315128088,0.397854835,0.548960507,0.440397292,0.218292549
Cd28,0.420847625,1.236021638,1.081797719,1.499462605,1.405404329,1.381752014,1.322571397,1.559571743,1.082503676,1.819052935,1.14623487
Zfp825,0.068492569,0.044152994,0.052785031,0.09209206,0.074208722,0.047723912,0.070536487,0.041127134,0.076071024,0.048310403,0.070983373
Zfp422,0.151406199,0.127448693,0.178145155,0.093295194,0.142244652,0.1656809,0.1225961,0.148441762,0.129263684,0.083817326,0.105842166
Dnmt3a,0.190113053,0.152343303,0.122844093,0.104359433,0.126647264,0.129724488,0.073312633,0.170097977,0.220771268,0.122069597,0.109425977
Taf15,0.37799722,0.393331915,0.64568603,0.767591476,0.7172243,0.759147406,0.646752119,0.505402625,0.499593496,0.4446055,0.442087591
Parp2,0.16876553,0.138882846,0.346955091,0.275295585,0.340865523,0.283058226,0.274794251,0.19824788,0.13041009,0.116550855,0.08960136
Zeb1,0.392748177,0.419339359,0.153372571,0.182437703,0.161297172,0.15394637,0.102175854,0.207957655,0.167873442,0.255300015,0.112882689
Klf11,0.015318595,0.040546361,0.103232972,0.113978341,0.122542791,0.112473823,0.105546921,0.061711799,0.073125429,0.062312879,0.050455414
Baz1a,0.349020183,0.398226529,1.067949533,1.022389293,1.07026279,1.054046988,0.94248575,0.809704602,0.996361017,0.673211634,0.620290339
Dennd4a,0.165550083,0.647781372,0.57108289,0.933665454,0.865232527,0.894678771,0.830533683,0.84910804,0.584976912,1.258203626,1.004903555
Pou2f1,0.189178452,0.121606611,0.105960697,0.165694058,0.108855441,0.082963496,0.061817113,0.090433359,0.085846931,0.111126065,0.099416211
Cenpk,0.018886548,0.032363344,0.476682305,0.454476625,0.439072341,0.592446864,0.308866024,0.144664392,0.164222315,0.057674848,0.053076833
Nfic,0.119984463,0.038703948,0.121254429,0.183549389,0.169643432,0.1334043,0.109566413,0.08175879,0.222986788,0.153800875,0.285279512
Htatip2,0.123795971,0.146426797,0.337296247,0.317277044,0.399053514,0.340794265,0.372323841,0.38824904,0.407720566,0.30597809,0.307032377
Hdgf,0.478217751,0.500684619,1.35340333,1.204289556,1.235062361,1.090646863,1.112697601,0.750346541,0.639316261,0.553262591,0.517338395
Rere,0.187515333,0.193823949,0.046719201,0.052930508,0.06565696,0.046995483,0.030687464,0.069840178,0.053368997,0.114273444,0.103446364
Smarcd2,0.266777426,0.250543296,0.420639575,0.455122769,0.469931662,0.387637943,0.422108263,0.352899969,0.281161606,0.311918914,0.319024771
Runx2,0.043470286,0.137062341,0.381841034,0.555441916,0.505849659,0.438202024,0.457999021,0.513952494,0.561343908,0.711510599,0.516516149
Il1rl1,0.001565928,0.002161338,0.036100727,0.070232086,0.048345283,0.054063067,0.046727043,0.182949081,0.237192973,0.015242845,0.024043784
Cnot6,0.272230089,0.228063315,0.562231004,0.476828843,0.521805763,0.481639892,0.457030237,0.376071453,0.355937958,0.285594255,0.254365832
Rest,0.295585066,0.241296798,0.345097959,0.250945777,0.311761618,0.257225841,0.320673406,0.398052126,0.256069481,0.292887568,0.258574903
Polr2b,0.212141529,0.16840665,0.468482971,0.389165014,0.445750117,0.333147377,0.335198343,0.299907416,0.229590148,0.208435461,0.194555134
Gabpa,0.112491339,0.144568413,0.300034493,0.255832523,0.27769959,0.273015976,0.270760387,0.205206335,0.183117032,0.165338635,0.172285959
Chd7,0.55001384,0.611899376,0.451619327,0.629505813,0.659322441,0.540742993,0.605509937,0.487791449,0.626383066,0.766766846,0.860990107
Tox2,0,0,0.009004019,0.028678274,0.008087562,0.01597151,0.005823468,0.130579531,0.071798287,0.00245951,0.001021634
Fkbp2,0.185756922,0.173026457,0.856960535,0.981168985,0.981655777,0.956430137,1.055888653,0.418680102,0.471313298,0.235950589,0.139532253
Mef2a,0.335439026,0.392326444,0.269643158,0.379624784,0.339104533,0.334682494,0.28188628,0.257772863,0.436044514,0.419860601,0.496615052
Lamp2,0.127453685,0.137008145,0.191806152,0.22273773,0.226982504,0.2008432,0.205665186,0.288966537,0.313646823,0.210799739,0.199632227
E2f3,0.027552888,0.020390084,0.214975268,0.139894709,0.160862416,0.225447699,0.133311823,0.08467453,0.100553684,0.053999312,0.038944155
Kat5,0.095839508,0.070427112,0.131003574,0.181816101,0.16586116,0.119471334,0.125561133,0.104061037,0.113070928,0.089177378,0.105431497
Asxl1,0.184509888,0.177851602,0.302988619,0.393142551,0.356763035,0.243030369,0.216583893,0.240660384,0.261669487,0.203960612,0.239701137
Ggt1,0.110987909,0.163365364,0.252974927,0.372674108,0.461795539,0.397805482,0.429921269,0.142538041,0.106393658,0.138461724,0.014453701
Atp1b3,1.340462446,1.503419161,1.339002609,1.442030311,1.566758633,1.470743895,1.519333124,1.404607177,1.508034587,1.564784765,1.784455538
Stat2,0.101123117,0.140885785,0.034044296,0.097927369,0.065927655,0.047991265,0.051379506,0.127540216,0.161921844,0.11004664,0.051473711
Hnrnpk,1.361152172,1.328508377,1.923678398,1.761386871,1.855858803,1.780095816,1.830236554,1.698410988,1.553276777,1.443500638,1.388463259
Gtf2f2,0.10907279,0.13690868,0.394503951,0.277772516,0.372856021,0.352983296,0.299932331,0.267653912,0.213907436,0.196975902,0.171385378
Pecam1,0.399192482,0.282097191,0.099681608,0.165308908,0.132692024,0.095112011,0.09928368,0.407622606,0.275644511,0.217113584,0.068517357
Thra,0.158898249,0.062042121,0.023501903,0.003866537,0.018559948,0.011415167,0.007503707,0.01284775,0.007645106,0.014020184,0.01372062
Creb3l1,0.007344905,0.004311875,0.044723742,0.033561692,0.053992018,0.044667311,0.059602477,0.019302683,0.027129361,0.019647911,0.016244577
Nab1,0.285016507,0.301691324,0.673679829,0.750948191,0.737085283,0.672314346,0.696520567,0.699215412,0.756896138,0.500604451,0.586588264
Zscan21,0.040174786,0.007632133,0.037310682,0.05339931,0.04699019,0.030258916,0.040923517,0.037933145,0.039128292,0.032715194,0.039854981
Zfp292,0.885426044,0.775047362,0.382066846,0.472251207,0.487637073,0.409441471,0.410502493,0.600877225,0.58510828,0.75097996,0.721495509
Kmt5b,0.358589798,0.291685969,0.145808831,0.187275156,0.186326519,0.121738344,0.18779479,0.280191243,0.275494814,0.345697075,0.345054626
Rel,0.220073119,0.339988977,0.459157974,0.535240054,0.543452322,0.5151847,0.506844044,0.77447319,0.346489221,0.516054332,0.402951449
Brca1,0.013067737,0.025147337,0.283320129,0.232251301,0.227858782,0.334760725,0.115951717,0.06747517,0.065769009,0.01452317,0.009372695
Polr2a,0.406307369,0.411541313,0.61249119,0.749197543,0.712929487,0.572168887,0.564951956,0.493536115,0.463614166,0.426121265,0.470190942
Med21,0.337069124,0.268478394,0.54859823,0.511170506,0.545136869,0.446285784,0.498286307,0.350195557,0.335780025,0.324861437,0.278689921
Klrc1,0.02431117,0.097478971,0.476682186,0.957942069,0.69963187,0.704284072,0.730054855,0.686974108,1.035421729,1.063553333,1.445278525
Maf,0.033369709,0.003362466,0.056680743,0.136139899,0.100582972,0.077178933,0.130853906,0.102512836,0.35293889,0.112468943,0.059083208
Cd7,0.414910644,0.408380896,0.13495867,0.211766556,0.2447467,0.183606863,0.241939873,0.369300067,0.231574804,0.302100688,0.108917609
Cd244a,0.009444711,0.002549432,0.035697483,0.041526083,0.041975129,0.033509001,0.049595207,0.023342924,0.05108491,0.006390546,0.008766287
Cd83,0.003614762,0,0.016080726,0.012806456,0.007051037,0.010306769,0.001951749,0.085141338,0.005271103,0.00046535,0
Id3,0.470214993,0.214665756,0.071664862,0.053398132,0.039626215,0.048346125,0.022963945,0.498932481,0.006760318,0.014182192,0.011867866
Nfx1,0.203109339,0.207391247,0.266872257,0.212640986,0.276255637,0.287005842,0.190528959,0.20650807,0.186285004,0.203996539,0.167997092
Ifngr1,0.509924352,1.000235915,0.797466636,1.440745711,1.23229003,1.030875921,1.164130211,0.771211982,1.473870873,1.412310243,1.174187064
Hdac5,0.05930683,0.061164875,0.081660956,0.072455056,0.118563496,0.099069394,0.084696464,0.066167131,0.07876239,0.076057129,0.071760155
Chaf1b,0.04981162,0.045549523,0.518820286,0.35711655,0.491789788,0.615732193,0.389143109,0.173734903,0.256373525,0.156741709,0.097295925
Zfp207,0.445543319,0.448969394,0.790939867,0.773566961,0.780504644,0.699967921,0.67064327,0.66745472,0.762765169,0.497660607,0.445239037
Thap7,0.140512586,0.092627458,0.228721321,0.197126329,0.19432582,0.201129466,0.191824839,0.160722882,0.165304348,0.130772471,0.110158339
Myef2,0.136142492,0.106851861,0.286714286,0.398183495,0.30376941,0.287009716,0.240893573,0.203681588,0.191573113,0.1768592,0.166706681
Maml3,0.077648699,0.03446478,0.004342481,0.001663052,0.008347855,0.00127215,0.002389315,0.004731471,0.007749741,0.001025285,0.00119307
Bst2,0.814315379,1.173000813,0.96589005,0.849459589,0.946972668,0.861879408,0.919169486,1.136984348,1.012059569,0.903750062,0.43475771
Zfp36l1,0.963875234,1.096070886,0.437495947,0.571999371,0.552746773,0.443064123,0.388973415,0.946244895,0.52212435,0.861917794,0.678152323
Pura,0.766168416,0.517085254,0.514081597,0.42603752,0.490758091,0.414617658,0.463396013,0.456897467,0.569457352,0.418704331,0.400108755
Lztr1,0.054945737,0.049091626,0.103510648,0.109843507,0.129659444,0.101410396,0.118960813,0.078864276,0.087997139,0.070243798,0.076691248
Papola,0.582717657,0.458646089,0.882182121,0.766545832,0.822016895,0.724006057,0.756943345,0.621674597,0.591008663,0.539515316,0.576706052
Kdm6b,0.309761673,0.557422161,0.21647945,0.30319804,0.314912558,0.272805035,0.256147087,0.41719684,0.158481956,0.45950529,0.524553835
Hivep3,0.053363852,0.02336441,0.055000793,0.073609829,0.040031228,0.065429851,0.04304333,0.138421297,0.145054102,0.024280779,0.03953822
Bmi1,0.085636683,0.10097339,0.148550972,0.094872616,0.129670233,0.136089951,0.114495575,0.122889034,0.136629716,0.077611908,0.067007959
Zfp593,0.275995672,0.315672606,0.476067543,0.28103736,0.351945281,0.342767864,0.328676224,0.362867326,0.30569768,0.269931883,0.179306895
Fosl2,0.125407279,0.306465119,0.075184546,0.070583776,0.123106129,0.076900423,0.069493204,0.157788619,0.139702335,0.174076229,0.23099342
Jaml,0.262081951,0.238652691,0.215735659,0.320154071,0.296078801,0.204469413,0.305386066,0.444632292,0.442260325,0.365865052,0.109740622
Kdm2b,0.144670695,0.211409315,0.301188767,0.282711416,0.287876397,0.300684541,0.236009508,0.359150022,0.259402573,0.266040355,0.260924995
Smarca4,0.328741997,0.366640687,0.671402037,0.610535681,0.636829376,0.529282153,0.532862723,0.481013417,0.425922185,0.367085844,0.309154749
Rarg,0.112894922,0.034348153,0.03055121,0.013912607,0.015166877,0.013123168,0.022068959,0.020408375,0.04845161,0.02968025,0.034543425
Hbp1,0.194857016,0.280323356,0.074267842,0.103973359,0.112640664,0.086259067,0.131563649,0.230615139,0.175773039,0.266131461,0.252699822
Atf1,0.292778283,0.332292199,0.618600309,0.610722363,0.564714849,0.545319557,0.577077568,0.440239847,0.424734443,0.388936073,0.369953185
Cbfb,0.271556944,0.235647187,0.619539201,0.725822568,0.61570859,0.641728878,0.608524501,0.386975765,0.445323259,0.320369244,0.319610953
Eaf1,0.060162421,0.052419823,0.124661714,0.089160286,0.116997674,0.097164795,0.099222399,0.090578355,0.082780987,0.082353219,0.091605231
Cd84,0.489530176,0.304036707,0.188754797,0.287712514,0.258739054,0.206251919,0.270780057,0.467965961,0.469994962,0.496377081,0.503071547
Junb,1.967360377,2.484598637,1.333053112,1.683711767,1.665332079,1.565918326,1.576074481,2.046732187,1.484278321,2.477566481,2.682168484
Sub1,1.344196916,1.599694014,2.546717882,2.787766457,2.643829823,2.734253883,2.777940989,2.3977983,2.868234873,2.623681784,2.242454052
Trim27,0.288913757,0.348665297,0.62991631,0.420484602,0.550657094,0.545266211,0.482135087,0.363143742,0.329595298,0.336515039,0.284435034
Ash2l,0.232507914,0.197655872,0.388631105,0.243562832,0.296350807,0.268467098,0.234976172,0.25959596,0.277188122,0.194586083,0.177556619
Jade1,0.139768988,0.095695503,0.212379351,0.14544411,0.119310342,0.199280158,0.097267739,0.088202514,0.104782239,0.103565916,0.074964516
Abcg2,0.028828183,0.015585308,0.032687508,0.009673192,0.009692227,0.012312328,0.005934644,0.018857172,0.009346027,0.009388687,0.008625833
Tcf19,0.018131956,0.014450399,0.338394284,0.30898869,0.287515014,0.478488922,0.184657037,0.103077434,0.080124073,0.044568494,0.054689519
Kdm5b,0.249428868,0.237186179,0.058418717,0.015801195,0.043090977,0.010306039,0.045368042,0.20044677,0.109721884,0.199630156,0.179337606
Actb,4.185055733,3.916063547,4.725115776,5.139544964,5.053982258,5.14509058,5.197881222,4.713396072,4.870130539,4.899799824,4.815963745
Snapc5,0.299455732,0.316016138,0.55642724,0.618936718,0.605383813,0.616012692,0.695039868,0.606160223,0.606680155,0.588751495,0.509265244
Ets2,0.058870595,0.080922097,0.059890226,0.033483218,0.050566453,0.05197173,0.04721126,0.033248346,0.026337743,0.027899362,0.012030204
Yeats4,0.418231636,0.406827033,0.692065239,0.729830146,0.728772879,0.645188212,0.721770704,0.649425209,0.49067539,0.425650239,0.377231777
Fmr1,0.205415845,0.251276702,0.564170122,0.521654844,0.544179857,0.561587632,0.469099402,0.394262999,0.331823587,0.366462946,0.316875756
Gtf2h2,0.07628984,0.072009422,0.208088472,0.147354469,0.155979201,0.148828357,0.156582713,0.119023174,0.106089272,0.08213643,0.0864072
Tnfrsf25,0.068158396,0.040348094,0.017072612,0.028993672,0.017400451,0.017410871,0.017387317,0.215152517,0.0504549,0.140022919,0.120097145
Lamp1,0.468456358,0.460265577,0.619736493,0.518763304,0.593731225,0.53368634,0.497144371,0.770789087,0.451512724,0.590733111,0.513295233
